Title,Time,Artist,Album,Genre,Plays
"Cheez Badi (From ""Machine"")",3:43,Udit Narayan & Neha Kakkar,Bollywood - Happy Hour,Bollywood,5
Chhote Chhote Peg,3:24,"Yo Yo Honey Singh, Neha Kakkar & Navraj Hans",Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),Bollywood,136
Chidiya,4:13,Vilen,Chidiya - Single,Indian Pop,143
Chikni Chameli,5:02,Ajay-Atul & Shreya Ghoshal,Agneepath (Original Motion Picture Soundtrack),Bollywood,
China (feat. J Balvin & Ozuna),5:02,"Anuel AA, Daddy Yankee & KAROL G",China (feat. J Balvin & Ozuna) - Single,Urbano latino,9
Chittiyaan Kalaiyaan,4:06,Kanika Kapoor & Meet Bros Anjjan,Roy (Original Motion Picture Soundtrack),Bollywood,1
Chlorine,5:24,twenty one pilots,Trench,Alternative,2
"Chocolate (From ""Sangeetkaar"")",2:44,Tony Kakkar,"Chocolate (From ""Sangeetkaar"") - Single",Indian,
"Chogada (From ""Loveyatri"")",4:10,"Darshan Raval, Asees Kaur & Lijo George-Dj Chetas","Chogada (From ""Loveyatri"") - Single",Bollywood,1
Choo Lo,3:54,The Local Train,Aalas Ka Pedh,Rock,1
Chunar,4:29,Arijit Singh,ABCD 2 (Original Motion Picture Soundtrack),Bollywood,19
"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")",4:48,Asha Bhosle & Mohammed Rafi,Singing Icon - Asha Bhosle,Bollywood,3
Cigarette Daydreams,3:29,Cage the Elephant,Melophobia,Alternative,
Circles,3:35,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,
Clash,2:56,Diljit Dosanjh,G.O.A.T.,Indian Pop,17
Closer (feat. Halsey),4:05,The Chainsmokers,Closer (feat. Halsey) - Single,Dance,9
Club Can't Handle Me (feat. David Guetta),3:53,Flo Rida,"Club Can't Handle Me (From ""Step Up 3D"") - Single",Hip-Hop/Rap,1
Coca Cola,2:59,"Tony Kakkar, Neha Kakkar & Young Desi",Luka Chuppi (Original Motion Picture Soundtrack),Bollywood,16
Coca Cola Tu (feat. Young Desi),3:12,Tony Kakkar,Coca Cola Tu (feat. Young Desi) - Single,Indian Pop,145
Coka,2:22,Sukhe,Coka - Single,World,87
Cold (feat. Future),3:54,Maroon 5,Cold (feat. Future) - Single,Pop,
Cold / Mess,4:41,Prateek Kuhad,Cold / Mess - EP,Indie Rock,140
Cold Cash,2:20,Africo,Cold Cash - Single,Hip-Hop/Rap,5
Come and Get Your Love,5:01,Redbone,Wovoka,Pop,1
Come On To Me (feat. Sean Paul),3:34,Major Lazer,Apocalypse Soon - EP,Dance,
comethru,3:02,Jeremy Zucker,"summer, - EP",Pop,16
Con Altura (feat. El Guincho),2:42,ROSALÍA & J Balvin,Con Altura (feat. El Guincho) - Single,Pop,
Congratulations (feat. Quavo),3:40,Post Malone,Stoney (Deluxe),Hip-Hop/Rap,1
Coño,2:18,"Puri, Jhorrmountain & Adje",Coño - Single,Dance,13
Conversations with my Wife,3:26,Jon Bellion,Conversations with my Wife - Single,Pop,1
Cool for the Summer,3:35,Demi Lovato,Confident (Deluxe Edition),Pop,
Cooped Up (feat. Roddy Ricch),3:06,Post Malone,Twelve Carat Toothache,Hip-Hop/Rap,
Count On Me,3:17,Bruno Mars,Doo-Wops & Hooligans,Pop,10
Counting Stars,4:17,OneRepublic,Native,Pop,10
Couple Goals,2:36,"Shankar-Ehsaan-Loy, Armaan Malik & Jonita Gandhi",Bandish Bandits (Original Motion Picture Soundtrack),Bollywood,1
Cradles,3:30,Sub Urban,Cradles - Single,Alternative,2
Crazy Kiya Re,4:55,Sunidhi Chauhan,Dhoom:2 (Original Motion Picture Soundtrack),Bollywood,1
Crush,4:27,Cigarettes After Sex,Crush - Single,Alternative,
Cry Baby Cry,5:04,Unloved,Guilty of Love (Deluxe Version),Alternative,
The Cuppycake Song,0:43,Buddy Castle,BALLOONS,Children's Music,5
Cutiepie,3:52,"Pritam, Pardeep Singh Sran & Nakash Aziz",Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,3
D.R.F.S.R.,3:16,Warrant,Dirty Rotten Filthy Stinking Rich,Hard Rock,
Daaru Desi,4:29,Benny Dayal & Shalmali Kholgade,Cocktail (Original Motion Picture Soundtrack),Bollywood,4
Daaru Peekay Nachna,3:25,Akull,Daaru Peekay Nachna - Single,Indian Pop,4
Daayre,4:51,Pritam & Arijit Singh,Dilwale (Original Motion Picture Soundtrack),Bollywood,1
Daddy Cool,3:29,Boney M.,The Complete Boney M.,Pop,
Daddy Issues,4:20,The Neighbourhood,Wiped Out!,Alternative,
Daddy Mummy,4:26,M.M. Manasi & Devi Sri Prasad,Bhaag Johnny (Original Motion Picture Soundtrack),Bollywood,5
Daingad Daingad,3:43,"Sachin-Jigar, Divya Kumar, Akriti Kakkar, Pratibha Baghel, Deepali Sathe, Niharika Sinha & Udit Narayan",Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,2
Dame Tu Cosita (feat. Cutty Ranks),2:32,El Chombo,Dame Tu Cosita (feat. Cutty Ranks) - Single,Dance,12
Dance Like,2:52,Harrdy Sandhu,Dance Like - Single,Indian Pop,40
Dance Monkey,3:29,Tones And I,Dance Monkey - Single,Alternative,16
Dangerous,7:00,Michael Jackson,The Essential Michael Jackson,Pop,
Dard,4:44,Sonu Nigam,Sarbjit (Original Motion Picture Soundtrack),Bollywood,
Dard - E - Disco,4:29,"Sukhwinder Singh, Marianne, Nisha & Caralisa",Om Shanti Om (Original Motion Picture Soundtrack),Bollywood,8
Daru Badnaam (with Pratik Studio),3:05,Param Singh & Kamal Kahlon,Daru Badnaam (with Pratik Studio) - Single,Punjabi Pop,142
Daryaa,4:22,Ammy Virk & Shahid Mallya,Manmarziyaan (Original Motion Picture Soundtrack),Bollywood,3
Dastaan - E - Om Shanti Om,7:06,Shaan,Om Shanti Om (Original Motion Picture Soundtrack),Bollywood,3
Day 'n' Nite,3:41,Kid Cudi,Man On the Moon: The End of Day,Hip-Hop/Rap,24
death bed (feat. beabadoobee) [coffee for your head],2:53,Powfu,death bed (feat. beabadoobee) [coffee for your head] - Single,Hip-Hop/Rap,50
Debora,1:34,Kid Koala,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,
Debora (Take 2),3:09,Tyrannosaurus Rex,My People Were Fair and Had Sky in Their Hair ... But Now They're Content to Wear Stars on Their Brows,Rock,
Debra,5:43,Beck,Midnite Vultures,Alternative,
Deewangi Deewangi,5:52,"Shaan, Udit Narayan, Shreya Ghoshal, Sunidhi Chauhan & Rahul Saxena",Om Shanti Om (Original Motion Picture Soundtrack),Bollywood,1
Dekh Lena,4:42,Arijit Singh & Tulsi Kumar,Tum Bin 2 (Original Motion Picture Soundtrack),Bollywood,21
"Dekha Hazaro Dafaa (From ""Rustom"")",3:28,Arijit Singh & Palak Muchhal,The Arijit Singh Collection,Bollywood,5
"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",4:16,"Atif Aslam, Nusrat Fateh Ali Khan & Rochak Kohli","Dekhte Dekhte (From ""Batti Gul Meter Chalu"") - Single",Bollywood,46
Demons,2:58,Imagine Dragons,Night Visions,Alternative,22
Desi Girl,2:47,Hazok,Desi Girl - Single,Hip-Hop/Rap,
Desi Girl,5:07,"Shankar Mahadevan, Vishal & Shekhar, Vishal Dadlani & Sunidhi Chauhan",Dostana (Original Motion Picture Soundtrack),Bollywood,1
Desi Kalakaar,4:13,Yo Yo Honey Singh,Desi Kalakaar,Indian Pop,10
Desi Look,3:28,Kanika Kapoor,Ek Paheli Leela (Original Motion Picture Soundtrack),Bollywood,3
Desires,2:48,AP Dhillon & Gurinder Gill,Hidden Gems - EP,Punjabi Pop,13
Despacito,3:49,Luis Fonsi & Daddy Yankee,VIDA,Pop in Spanish,21
Despacito (Hindi Version),3:48,Uday Bagri,Despacito (Hindi Version) - Single,Indian Pop,27
Desperado,3:34,Eagles,Desperado,Rock,1
Dessert,3:31,Dawin,Dessert - EP,Pop,19
Dhadhang Dhang,4:35,"Shreya Ghoshal, Sajid - Wajid & Wajid Khan",Rowdy Rathore (Original Motion Picture Soundtrack),Bollywood,5
Dhating Naach,3:11,"Nakash, Shefali Alvaris & Pritam",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),Bollywood,
Dheeme Dheeme (feat. Neha Sharma),2:36,Tony Kakkar,Dheeme Dheeme (feat. Neha Sharma) - Single,Indian Pop,38
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",2:57,"Tony Kakkar, Neha Kakkar & Tanishk Bagchi","Dheeme Dheeme (From ""Pati Patni Aur Woh"") - Single",Bollywood,1
Dheere Dheere,3:32,Yo Yo Honey Singh,Dheere Dheere - Single,Indian Pop,17
Dhoka Hai Tu,4:24,Dino James & Girish Nakod,Dhoka Hai Tu - Single,Indian Pop,
Dhol Jageero Da,4:25,Panjabi MC & Master Saleem,Dhol Jageero Da,Indian Pop,1
Dhoom Again,5:03,Dominique Cerejo & Vishal Dadlani,Dhoom:2 (Original Motion Picture Soundtrack),Bollywood,2
Dhoondti Firaan (feat. Akasa),3:47,The Yellow Diary,Dhoondti Firaan (feat. Akasa) - Single,Indian Pop,2
Dick (feat. Doja Cat),2:55,StarBoi3,Dick (feat. Doja Cat) - Single,Hip-Hop/Rap,4
"Dil Beparvah (feat. Dhruv Bhola & Nikhil Vasudevan) [The Dewarists, Season 5]",4:10,Ankur Tewari & Prateek Kuhad,"Dil Beparvah (feat. Dhruv Bhola & Nikhil Vasudevan) [The Dewarists, Season 5] - Single",Singer/Songwriter,77
Dil Cheez Tujhe Dedi,4:31,Ankit Tiwari & Arijit Singh,Airlift (Original Motion Picture Soundtrack) - EP,Bollywood,2
Dil Chori,3:47,"Yo Yo Honey Singh, Simar Kaur & Ishers",Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),Bollywood,85
Dil Diyan Gallan,4:21,Vishal & Shekhar & Atif Aslam,Tiger Zinda Hai (Original Motion Picture Soundtrack),Bollywood,87
Dil Galti Kar Baitha Hai,4:00,Mr Kap,Dil Galti Kar Baitha Hai - Single,Indian,
Dil Ka Telephone,3:30,"Meet Bros, Jonita Gandhi & Nakash Aziz",Dream Girl (Original Motion Picture Soundtrack),Bollywood,18
Dil Kahi Ka,3:03,Dino James,Dil Kahi Ka - Single,Hip-Hop/Rap,92
Dil Ke Paas,4:31,"Arijit Singh, Tulsi Kumar & Neuman Pinto",Wajah Tum Ho (Original Motion Picture Soundtrack),Bollywood,15
Dil Kissko Du,3:11,Mellow D,Dil Kissko Du - Single,Indian Pop,
Dil Le Gayee (Redux),2:38,Jasbir Jassi,Dil Le Gayee (Redux) - Single,Punjabi Pop,4
Dil Mera Muft Ka,4:26,"Nandini Srikar, Muazzam, Rizwan, Shadab Faridi, Altamush Faridi & Shabab Sabri",Agent Vinod (Original Motion Picture Soundtrack),Bollywood,5
Dil To Bachcha Hai,5:34,Rahat Fateh Ali Khan,Ishqiya (Original Motion Picture Soundtrack),Bollywood,2
Dil Tu Hi Bataa,6:40,Alisha Chinai & Zubeen Garg,Krrish 3 (Original Motion Picture Soundtrack),Bollywood,
"Dilbar (From ""Satyameva Jayate"")",3:04,"Neha Kakkar, Dhvani Bhanusali, Ikka & Tanishk Bagchi","Dilbar (From ""Satyameva Jayate"") - Single",Bollywood,36
Dilbar Mere (The Unwind Mix),4:09,Rahul Vaidya,Bollywood Unwind 2,Bollywood,
Dilbaro,5:14,"Harshdeep Kaur, Shankar Mahadevan & Vibha Saraf",Raazi (Original Motion Picture Soundtrack) - EP,Bollywood,
Dildaara (Stand By Me),4:10,Shafqat Amanat Ali,Ra-One (Original Motion Picture Soundtrack),Bollywood,9
Dilli Se Hu Bc,2:37,Star Boy L.O.C,Dilli Se Hu Bc - Single,Indian Pop,16
Dilliwaali Girlfriend,4:21,Arijit Singh & Sunidhi Chauhan,Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,1
Dilnawaz,3:28,The Local Train,Vaaqif,Rock,1
Dinero,2:41,Trinidad Cardona,Dinero - Single,Pop,2
Ding Dang,3:23,Amit Mishra & Antara Mitra,Munna Michael (Original Motion Picture Soundtrack),Bollywood,3
dirty laundry,2:46,blackbear,deadroses,R&B/Soul,2
Dj Waley Babu (feat. Aastha Gill),2:49,Badshah,Dj Waley Babu (feat. Aastha Gill) - Single,Indian Pop,9
Do Dil Mil Rahe Hai,6:40,Kumar Sanu,Pardes (Original Motion Picture Soundtrack),Bollywood,
Do I Wanna Know?,4:32,Arctic Monkeys,AM,Alternative,
Do Lafzon Ki Hai Dil Ki Kahani,6:22,"Amitabh Bachchan, Asha Bhosle & Sharad Kumar",The Great Gambler (Original Motion Picture Soundtrack),Bollywood,
Do You Know,3:32,Diljit Dosanjh,Do You Know - Single,Indian,11
Do You?,3:16,TroyBoi,"V!BEZ, Vol. 3 - EP",Electronic,10
"Don't Be Shy Again (From ""Bala"")",2:44,"Sachin-Jigar, Badshah, Shalmali Kholgade & Gurdeep Mehendi","Don't Be Shy Again (From ""Bala"") - Single",Bollywood,12
"Don't Give Up On Me (From ""Five Feet Apart"")",3:16,Andy Grammer,Naive,Pop,13
Don't Start Now,3:03,Dua Lipa,Don't Start Now - Single,Pop,
Don't Wanna Know (feat. Kendrick Lamar) [Zaeden  Remix],3:34,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar) [Zaeden Remix] - Single,Pop,3
Doobey,3:40,"OAFF, Savera, Lothika & Kausar Munir",Gehraiyaan (Original Motion Picture Soundtrack),Bollywood,1
Dooriyan,5:37,Mohit Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,
Dooriyan (feat. Kaprila),3:35,Dino James,Dooriyan (feat. Kaprila) - Single,Indian Pop,9
Dope Shope,3:32,Yo Yo Honey Singh & Deep Money,International Villager,Indian Pop,8
Downtown,3:13,Anitta & J Balvin,Downtown - Single,Pop Latino,2
Drag Me Down,3:12,One Direction,Drag Me Down - Single,Pop,4
Drag Me Down,3:12,One Direction,Made In The A.M.,Pop,1
Drama,3:10,Raftaar,Mr. Nair,Soundtrack,1
Drama Queen,3:19,"Vishal & Shekhar, Shreya Ghoshal & Vishal Dadlani",Hasee Toh Phasee (Original Motion Picture Soundtrack),Bollywood,
Drive,3:50,Diljit Dosanjh,Con.Fi.Den.Tial,Indian Pop,2
drivers license,4:02,Olivia Rodrigo,drivers license - Single,Pop,3
Drop It Like It's Hot (feat. Pharrell Williams),4:27,Snoop Dogg,Rap Stars,Hip-Hop/Rap,2
Droptop,2:21,"AP Dhillon, Gurinder Gill & Gminxr",Droptop - Single,Punjabi,2
Dry Spell,5:12,"Karun, Suspendednotes & B-Leaf",Qabool Hai (Deluxe),R&B/Soul,7
Duaa,4:20,Nandini Srikar & Arijit Singh,Shanghai (Original Motion Picture Soundtrack),Bollywood,2
Dumb-Ass Excuse,0:21,Steven Price,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,1
Duniyaa,3:43,Akhil & Dhvani Bhanushali,Luka Chuppi (Original Motion Picture Soundtrack),Bollywood,70
Dus Bahane,3:27,Shaan & KK,Dus (Original Motion Picture Soundtrack),Bollywood,4
"Dus Bahane 2.0 (From ""Baaghi 3"") [feat. K.K., Shaan, Tulsi Kumar]",3:22,Vishal & Shekhar,"Dus Bahane 2.0 (From ""Baaghi 3"") [feat. K.K., Shaan, Tulsi Kumar] - Single",Bollywood,2
DYK (feat. Dhanji),3:27,Karun & Udbhav,Qabool Hai (Deluxe),New Wave,
Dynamite,3:19,BTS,BE,K-Pop,21
DYNAMITE,2:54,Dhvani Bhanushali,DYNAMITE - Single,Indian Pop,2
Early In the Morning (2006 Remastered Version),3:01,Alexis Korner's Blues Incorporated,Alexis Korner's Blues Incorporated (Expanded Edition) [2006 Remastered Version],Blues,
Earth,4:42,Lil Dicky,Earth - Single,Pop,3
Eastside,2:51,"benny blanco, Halsey & Khalid",FRIENDS KEEP SECRETS,Pop,23
Easy,4:17,The Commodores,Commodores,R&B/Soul,
Easy (Baby Driver Mix),3:50,Sky Ferreira,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,
Easy (Music From the Motion Picture Baby Driver),4:28,Sky Ferreira,Baby Driver (Music from the Motion Picture),Alternative,1
The Edge,2:54,David McCallum,Music: A Bit More Of Me,Jazz,
Egyptian Reggae (Live),2:37,Jonathan Richman & The Modern Lovers,Rock 'n' Roll with the Modern Lovers (Bonus Track Edition),Rock,1
"Ek Chumma (From ""Housefull 4"")",4:05,"Sohail Sen, Altamash Faridi & Jyotica Tangri","Ek Chumma (From ""Housefull 4"") - Single",Bollywood,19
Ek Dil Ek Jaan,3:40,Shivam Pathak,Padmaavat (Original Motion Picture Soundtrack),Bollywood,1
Ek Ladki Bheegi Bhaagi Si,4:05,Kishore Kumar,"History of Indian Film Music, [Bedard Zamana Kya Jane (1959), Boot Polish (1953), Chalti Ka Naam Gaadi (1958)], Vol. 18",Bollywood,
Ek Ladki Ko Dekha,4:35,Kumar Sanu,1942 A Love Story (Original Motion Picture Soundtrack),Bollywood,2
Ek Ladki Ko Dekha To Aisa Laga,3:36,SANAM,Ek Ladki Ko Dekha To Asia Laga - Single,Indian Pop,
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")",2:35,Darshan Raval & Rochak Kohli,"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"") - Single",Bollywood,4
Ek Pyar Ka Nagma Hai,4:37,SANAM,Ek Pyar Ka Nagma Hai - Single,Indian Pop,2
Ek Raat,3:44,Vilen,Ek Raat - Single,Pop,350
Ektarfa,3:51,King,Ektarfa - Single,Indian Pop,8
El Amante,3:40,Nicky Jam,Fénix,Latin Urban,31
El Anciano y el Niño,3:18,Cheo Gallego,El Anciano y el Niño - Single,Latin Rap,
El Sueño (feat. Tru-Skool),3:54,Diljit Dosanjh,El Sueño (feat. Tru-Skool) - Single,Worldwide,22
Elefante,2:42,NK,Elefante - Single,Urbano latino,48
Elefante,2:43,NK,,Latin Urban,7
Emotional Attyachaar (Rock Version),4:00,Bonnie Chakraborty,Dev D (Original Motion Picture Soundtrack),Bollywood,
"Enemy (From the series ""Arcane League of Legends"")",2:53,"Imagine Dragons, JID & League of Legends","Enemy (From the series ""Arcane League of Legends"") - Single",Alternative,2
Enna Sona,3:34,A. R. Rahman & Arijit Singh,OK Jaanu (Original Motion Picture Soundtrack),Bollywood,6
"Enna Sona (From ""OK Jaanu"")",3:34,A. R. Rahman & Arijit Singh,"Enna Sona (From ""OK Jaanu"") - Single",Bollywood,7
Eshay,3:10,Gucci Dassy,Eshay - Single,Hip-Hop/Rap,8
Every Little Bit Hurts,2:56,Brenda Holloway,The Artistry Of Brenda Holloway,R&B/Soul,
Everyday Normal Guy 2,3:16,Jon Lajoie,You Want Some of This?,Comedy,4
everything sucks,1:55,vaultboy,everything sucks - Single,Pop,1
Excuses,2:56,"AP Dhillon, Gurinder Gill & Intense",Excuses - Single,Worldwide,180
Expert Jatt,3:20,Nawab,Expert Jatt - Single,Punjabi Pop,249
Eyes on Her,3:05,Dino James,Eyes on Her - Single,Hip-Hop/Rap,1
F For Fyaar,3:52,"Vicky Kaushal, Mast Ali & Rap by Sikander Kahlon",Manmarziyaan (Original Motion Picture Soundtrack),Bollywood,19
Faasle,3:42,Aditya Rikhari,Faasle - Single,Indian,56
FACK,3:26,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,1
Faded,3:33,Alan Walker,Faded - EP,Dance,4
Faded (Midnight Fury Remix ),3:23,Midnight Fury,Faded (Midnight Fury Remix ) - Single,Dance,3
Fake Love,3:31,Drake,More Life,Hip-Hop/Rap,18
Falak Tak,5:56,"Vishal & Shekhar, Mahalakshmi Iyer & Udit Narayan",Tashan (Original Motion Picture Soundtrack),Bollywood,3
Falling,2:39,Trevor Daniel,Nicotine,Pop,11
Faltu Pyar,3:42,"Hasan Raheem, Natasha Noorani & Talal Qureshi",Faltu Pyar - Single,Afro-Beat,2
Familiar,3:17,Liam Payne & J Balvin,Familiar - Single,Pop,8
Feel Me,3:46,Selena Gomez,Feel Me - Single,Pop,3
Feelings,3:45,Sumit Goswami,Feelings - Single,Indian Pop,17
Fevicol Se,4:50,Mamta Sharma & Wajid,Dabangg 2 (Original Motion Picture Soundtrack),Bollywood,2
"Filhaal2 Mohabbat (feat. Akshay Kumar, Nupur Sanon & Ammy Virk)",5:00,B. Praak,"Filhaal2 Mohabbat (feat. Akshay Kumar, Nupur Sanon & Ammy Virk) - Single",Indian Pop,26
Filhall (feat. Akshay Kumar & Nupur Sanon),4:15,B. Praak,Filhall (feat. Akshay Kumar & Nupur Sanon) - Single,Indian Pop,86
Fire on Fire,4:07,Sam Smith,Fire on Fire - Single,Pop,
Firestarter,2:36,Raja Kumari,Firestarter - Single,Hip-Hop/Rap,9
First Class,4:37,Arijit Singh & Neeti Mohan,Kalank (Original Motion Picture Soundtrack),Bollywood,4
First Class,2:54,Jack Harlow,Come Home The Kids Miss You,Hip-Hop/Rap,2
Float on the Sound (Ey),2:33,Tiagz,Float on the Sound (Ey) - Single,Hip-Hop/Rap,
Fly (feat. Rihanna),3:33,Nicki Minaj & Rihanna,Pink Friday,R&B/Soul,3
FML,3:43,Arizona Zervas,Living Facts - Single,Hip-Hop/Rap,1
Follow,3:10,Nawab & Mista Baaz,Follow - Single,Worldwide,2
"For Aisha (Featured in ""the Sky Is Pink"")",5:58,MEMBA & EVAN GIIA,"For Aisha (Featured in ""the Sky Is Pink"") - Single",Electronic,2
FRIENDS,3:23,Marshmello & Anne-Marie,FRIENDS - Single,Pop,19
Fuck You (feat. Lil Littlez & Thorii),3:23,ZZ,WTF R WE DOING?!,Hip-Hop/Rap,19
Fukrey Returns,2:57,"Siddharth Mahadevan, Shannon Donald & Gulraj Singh",Fukrey Returns (Original Motion Picture Soundtrack),Bollywood,5
Future,2:54,Diljit Dosanjh,Con.Fi.Den.Tial,Indian Pop,1
G Phaad Ke,3:13,Divya Kumar & Shefali Alvares,Happy Ending (Original Motion Picture Soundtrack),Bollywood,5
G.O.A.T.,3:44,Diljit Dosanjh,G.O.A.T.,Indian Pop,20
Gaal Ni Kadni,4:09,Parmish Verma,Desi Crew - Top Hits,Indian Pop,34
Gabhru,3:38,J-Star,International Villager,Indian Pop,15
Gaddi Moudan Ge,4:20,Mika Singh,Dharti (Original Motion Picture Soundtrack),Regional Indian,7
Gal Ban Gayi,4:15,"Meet Bros, Sukhbir, Neha Kakkar & Yo Yo Honey Singh",Gal Ban Gayi - Single,Indian Pop,5
Gallan 4,3:12,Talwiinder,Gallan 4 - Single,R&B/Soul,48
Gallan Goodiyaan,4:57,"Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan & Sukhwinder Singh",Dil Dhadakne Do (Original Motion Picture Soundtrack),Bollywood,7
Gallan Tipsiyaan,3:16,Arjun Kanungo,Gallan Tipsiyaan - Single,Pop,14
Galliyan,5:40,Ankit Tiwari,Ek Villain (Original Motion Picture Soundtrack),Bollywood,2
"Galti Se Mistake (From ""Jagga Jasoos"")",3:23,"Arijit Singh, Amit Mishra & Pritam","Galti Se Mistake (From ""Jagga Jasoos"") - Single",Bollywood,13
Gandhi Money,2:56,DIVINE,Kohinoor,Hip-Hop/Rap,1
Gandi Baat,4:10,Mika Singh & Kalpana Patowary,R... Rajkumar (Original Motion Picture Soundtrack),Bollywood,4
Gangland (feat. Deep Kahlon),2:48,Mankirt Aulakh,Gangland - Single (feat. Deep Kahlon) - Single,Indian Pop,33
Gangland (feat. Deep Kahlon) [Remix],2:20,Mankirt Aulakh,Gangland (Remix) - Single [feat. Deep Kahlon] - Single,Indian Pop,30
Ganpat,4:30,Mika Singh & Anchal,Shootout At Lokhandwala (Original Motion Picture Soundtrack),Bollywood,16
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",3:03,Badshah & Neha Kakkar,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan) - Single",Bollywood,38
Gasolina,3:13,Daddy Yankee,El sol ta que quema,Urbano latino,9
"Gazab Ka Hai Din (From ""Dil Juunglee"")",3:56,"Jubin Nautiyal, Prakriti Kakar & Tanishk Bagchi","Gazab Ka Hai Din (From ""Dil Juunglee"") - Single",Bollywood,2
GDFR (feat. Sage the Gemini & Lookas),3:10,Flo Rida,GDFR (feat. Sage the Gemini & Lookas) - Single,Hip-Hop/Rap,15
Gediyan,3:03,Raj Ranjodh & Dr Zeus,Gediyan - Single,Worldwide,
Gehraiyaan Title Track,2:59,"OAFF, Savera, Lothika & Ankur Tewari",Gehraiyaan (Original Motion Picture Soundtrack),Bollywood,
Genda Phool,2:48,Rekha Bhardwaj,Delhi-6 (Original Motion Picture Soundtrack),Bollywood,3
Genda Phool (feat. Payal Dev),2:51,Badshah,Genda Phool (feat. Payal Dev) - Single,Indian Pop,22
"Gerua (From ""Dilwale"")",5:46,"Pritam, Arijit Singh & Antara Mitra",Your's Truly Arijit,Bollywood,
Get Into It (Yuh),2:18,Doja Cat,Planet Her,Pop,1
Get You the Moon (feat. Snøw),2:59,Kina,Get You the Moon (feat. Snøw) - Single,Electronic,2
Getup Jawani,3:48,Badshah & Yo Yo Honey Singh,International Villager,Indian Pop,9
Ghani Bawri,4:15,Jyoti Noora,Tanu Weds Manu Returns (Original Motion Picture Soundtrack),Bollywood,1
Ghar,5:05,Bharat Chauhan,Ghar - Single,Indie Rock,3
Ghar Se Nikalte Hi,4:43,Amaal Mallik & Armaan Malik,Ghar Se Nikalte Hi - Single,Indian Pop,4
Ghoome Ghoome,3:04,Avi J,Ghoome Ghoome - Single,Indian Pop,17
Ghumshudaa (Lofi Flip) [feat. King],3:22,King Shubh,Ghumshudaa (Lofi Flip) [feat. King] - Single,Pop,79
"Ghungroo (From ""War"")",5:03,"Arijit Singh, Shilpa Rao & Vishal & Shekhar","Ghungroo (From ""War"") - Single",Bollywood,2
Gimme More,4:11,Britney Spears,Blackout,Pop,
Ginseng Strip 2002,2:34,Yung Lean,Lavender - Single,Hip-Hop/Rap,1
Girlfriend,6:59,Dino James,Girlfriend - Single,Indian Pop,28
Girls Like You (feat. Cardi B),3:56,Maroon 5,Girls Like You (feat. Cardi B) - Single,Pop,8
Glassy,3:42,Yo Yo Honey Singh & Ashok Mastie,Glassy - Single,Indian Pop,19
Go Pagal,2:51,Raftaar & Nindy Kaur,Jolly LLB 2 (Original Motion Picture Soundtrack),Bollywood,
God Allah Aur Bhagwan,6:28,Sonu Nigam & Shreya Ghoshal,Krrish 3 (Original Motion Picture Soundtrack),Bollywood,
God's Plan,3:19,Drake,Scorpion,Hip-Hop/Rap,9
Goliya,3:38,Diljit Dosanjh & Yo Yo Honey Singh,International Villager,Indian Pop,15
"Golmaal Title Track (From ""Golmaal Again!!!"")",4:24,"Brijesh Shandilya, Aditi Singh Sharma & Thaman S.","Golmaal Title Track (From ""Golmaal Again!!!"") - Single",Bollywood,
"Gone, Gone, Gone",3:30,Phillip Phillips,The World from the Side of the Moon,Pop,
good 4 u,2:58,Olivia Rodrigo,SOUR,Pop,
Good Life (feat. T-Pain),3:27,Kanye West,Graduation,Hip-Hop/Rap,1
Goodbye (feat. Soap&Skin),4:29,Apparat,The Devil's Walk,Electronic,
Gori Gori Gori Gori,4:29,"Anu Malik, KK, Shreya Ghoshal & Sunidhi Chauhan",Main Hoon Na (Original Motion Picture Soundtrack),Bollywood,5
Goriye,2:45,Darshan Raval,Goriye - Single,Indian Pop,1
Grandfather,3:30,Badshah,Grandfather - Single,Indian Pop,2
